arquivo,capitulo,pagina,figura,largura_px,altura_px,legenda_original,status
_ambiguos/pagina-0030_semlegenda1.png,Chapter 1. Introduction to Control Systems,30,,351,365,,ambiguo
cap01-introduction-to-control-systems/pagina-0032_fig1-1.png,Chapter 1. Introduction to Control Systems,32,1.1,627,168,FIGURE 1.1 Process to be controlled.,ok
cap01-introduction-to-control-systems/pagina-0032_fig1-2.png,Chapter 1. Introduction to Control Systems,32,1.2,1306,168,FIGURE 1.2 Open-loop control system (without feedback).,ok
cap01-introduction-to-control-systems/pagina-0032_fig1-3.png,Chapter 1. Introduction to Control Systems,32,1.3,1530,350,FIGURE 1.3 Closed-loop feedback ­control system (with feedback).,ok
cap01-introduction-to-control-systems/pagina-0033_fig1-4.png,Chapter 1. Introduction to Control Systems,33,1.4,1537,515,FIGURE 1.4 Closed-loop ­feedback system with external ­disturbances and measurement noise.,ok
cap01-introduction-to-control-systems/pagina-0034_fig1-5.png,Chapter 1. Introduction to Control Systems,34,1.5,1847,557,FIGURE 1.5,ok
cap01-introduction-to-control-systems/pagina-0034_fig1-6.png,Chapter 1. Introduction to Control Systems,34,1.6,1324,448,FIGURE 1.6,ok
cap01-introduction-to-control-systems/pagina-0035_fig1-7.png,Chapter 1. Introduction to Control Systems,35,1.7,1063,940,FIGURE 1.7 Watt’s flyball governor.,ok
cap01-introduction-to-control-systems/pagina-0036_fig1-8.png,Chapter 1. Introduction to Control Systems,36,1.8,587,689,FIGURE 1.8 Water-level float regulator.,ok
cap01-introduction-to-control-systems/pagina-0039_fig1-9.png,Chapter 1. Introduction to Control Systems,39,1.9,1672,1133,FIGURE 1.9 applications to control engineering (Source: SRI Business Intelligence).,ok
cap01-introduction-to-control-systems/pagina-0041_fig1-10.png,Chapter 1. Introduction to Control Systems,41,1.10,1538,1751,FIGURE 1.10 (a) Automobile steering control system. (b) The driver uses the difference be- tween the actual and the desired direction of travel to generate a con- trolled adjustment of the steering wh,ok
cap01-introduction-to-control-systems/pagina-0042_fig1-11.png,Chapter 1. Introduction to Control Systems,42,1.11,1042,585,FIGURE 1.11 A manual ­control system for ­regulating the level of fluid in a tank by adjusting the output valve. The opera- tor views the level of fluid through a port in the side of the tank.,ok
cap01-introduction-to-control-systems/pagina-0043_fig1-12.png,Chapter 1. Introduction to Control Systems,43,1.12,1518,1034,"FIGURE 1.12 The Honda ASIMO humanoid robot. ASIMO walks, climbs stairs, and turns corners. (David Coll Blanco/ Alamy Stock Photo)",ok
cap01-introduction-to-control-systems/pagina-0044_fig1-13.png,Chapter 1. Introduction to Control Systems,44,1.13,1589,1008,FIGURE 1.13 Coordinated ­control system for a boiler–generator.,ok
cap01-introduction-to-control-systems/pagina-0045_fig1-14.png,Chapter 1. Introduction to Control Systems,45,1.14,1565,763,FIGURE 1.14 Recent advances in electronic prosthetics have resulted in the development of a prosthetic hand and arm that has the same dexterity as a human arm. (Kuznetsov Dmitriy/Shutterstock).,ok
cap01-introduction-to-control-systems/pagina-0045_fig1-15.png,Chapter 1. Introduction to Control Systems,45,1.15,1540,644,FIGURE 1.15 A feedback ­control system model of the national income.,ok
cap01-introduction-to-control-systems/pagina-0046_fig1-16.png,Chapter 1. Introduction to Control Systems,46,1.16,968,668,FIGURE 1.16 A commercial drone (GuruXOX/ Shuttterstock).,ok
cap01-introduction-to-control-systems/pagina-0049_fig1-17.png,Chapter 1. Introduction to Control Systems,49,1.17,954,1203,FIGURE 1.17,ok
_ambiguos/pagina-0049_semlegenda1.png,Chapter 1. Introduction to Control Systems,49,,755,158,,ambiguo
cap01-introduction-to-control-systems/pagina-0051_fig1-18.png,Chapter 1. Introduction to Control Systems,51,1.18,1116,997,FIGURE 1.18 The key elements of mechatronics [64].,ok
cap01-introduction-to-control-systems/pagina-0052_fig1-19.png,Chapter 1. Introduction to Control Systems,52,1.19,1164,798,FIGURE 1.19 The hybrid fuel automobile can be viewed as a ­mechatronic ­system. (Marmaduke St. John/Alamy Stock Photo.),ok
cap01-introduction-to-control-systems/pagina-0053_fig1-20.png,Chapter 1. Introduction to Control Systems,53,1.20,1117,766,FIGURE 1.20 Efficient wind power generation. (Photo courtesy of NASA),ok
cap01-introduction-to-control-systems/pagina-0054_fig1-21.png,Chapter 1. Introduction to Control Systems,54,1.21,819,619,FIGURE 1.21 Wearable ­computers can assist a physician provide better healthcare delivery. (Wavebreak Media Ltd/123RF.),ok
cap01-introduction-to-control-systems/pagina-0057_fig1-22.png,Chapter 1. Introduction to Control Systems,57,1.22,1334,928,FIGURE 1.22 Evolution of con- trol systems and autonomy.,ok
cap01-introduction-to-control-systems/pagina-0059_fig1-23.png,Chapter 1. Introduction to Control Systems,59,1.23,1812,1223,FIGURE 1.23,ok
cap01-introduction-to-control-systems/pagina-0060_fig1-24.png,Chapter 1. Introduction to Control Systems,60,1.24,1457,749,FIGURE 1.24 (a) Open-loop (without feedback) control of the speed of a rotating disk. (b) Block diagram model.,ok
cap01-introduction-to-control-systems/pagina-0061_fig1-25.png,Chapter 1. Introduction to Control Systems,61,1.25,1550,974,FIGURE 1.25 (a) Closed-loop control of the speed of a rotating disk. (b) Block dia- gram model.,ok
cap01-introduction-to-control-systems/pagina-0062_fig1-26.png,Chapter 1. Introduction to Control Systems,62,1.26,1055,770,FIGURE 1.26 The blood ­glucose and insulin ­levels for a healthy person.,ok
cap01-introduction-to-control-systems/pagina-0062_fig1-27.png,Chapter 1. Introduction to Control Systems,62,1.27,1401,881,FIGURE 1.27 (a) Open-loop ­(without ­feedback) control and (b) closed-loop control of blood glucose.,ok
cap01-introduction-to-control-systems/pagina-0063_fig1-28.png,Chapter 1. Introduction to Control Systems,63,1.28,1406,621,FIGURE 1.28 (a) A disk drive (Ragnarock/ Shutterstock.) (b) Diagram of a disk drive.,ok
cap01-introduction-to-control-systems/pagina-0064_fig1-29.png,Chapter 1. Introduction to Control Systems,64,1.29,1433,326,FIGURE 1.29 Closed-loop control system for disk drive.,ok
cap01-introduction-to-control-systems/pagina-0064_fig1-30.png,Chapter 1. Introduction to Control Systems,64,1.30,865,136,"FIGURE 1.30 actuator, and process.",ok
_ambiguos/pagina-0067_semlegenda1.png,Chapter 1. Introduction to Control Systems,67,,1034,297,,ambiguo
_ambiguos/pagina-0068_semlegenda1.png,Chapter 1. Introduction to Control Systems,68,,917,582,,ambiguo
_ambiguos/pagina-0069_semlegenda1.png,Chapter 1. Introduction to Control Systems,69,,1054,382,,ambiguo
_ambiguos/pagina-0069_semlegenda2.png,Chapter 1. Introduction to Control Systems,69,,818,490,,ambiguo
_ambiguos/pagina-0069_semlegenda3.png,Chapter 1. Introduction to Control Systems,69,,1271,368,,ambiguo
_ambiguos/pagina-0070_semlegenda1.png,Chapter 1. Introduction to Control Systems,70,,655,272,,ambiguo
_ambiguos/pagina-0070_semlegenda2.png,Chapter 1. Introduction to Control Systems,70,,862,341,,ambiguo
_ambiguos/pagina-0070_semlegenda3.png,Chapter 1. Introduction to Control Systems,70,,871,456,,ambiguo
_ambiguos/pagina-0071_semlegenda1.png,Chapter 1. Introduction to Control Systems,71,,1325,415,,ambiguo
_ambiguos/pagina-0071_semlegenda2.png,Chapter 1. Introduction to Control Systems,71,,601,751,,ambiguo
_ambiguos/pagina-0072_semlegenda1.png,Chapter 1. Introduction to Control Systems,72,,880,629,,ambiguo
_ambiguos/pagina-0072_semlegenda2.png,Chapter 1. Introduction to Control Systems,72,,752,731,,ambiguo
_ambiguos/pagina-0073_semlegenda1.png,Chapter 1. Introduction to Control Systems,73,,1827,936,,ambiguo
_ambiguos/pagina-0074_semlegenda1.png,Chapter 1. Introduction to Control Systems,74,,876,678,,ambiguo
_ambiguos/pagina-0074_semlegenda2.png,Chapter 1. Introduction to Control Systems,74,,1176,851,,ambiguo
_ambiguos/pagina-0075_semlegenda1.png,Chapter 1. Introduction to Control Systems,75,,1669,744,,ambiguo
_ambiguos/pagina-0075_semlegenda2.png,Chapter 1. Introduction to Control Systems,75,,1149,717,,ambiguo
_ambiguos/pagina-0076_semlegenda1.png,Chapter 1. Introduction to Control Systems,76,,867,511,,ambiguo
_ambiguos/pagina-0076_semlegenda2.png,Chapter 1. Introduction to Control Systems,76,,464,706,,ambiguo
_ambiguos/pagina-0076_semlegenda3.png,Chapter 1. Introduction to Control Systems,76,,821,670,,ambiguo
_ambiguos/pagina-0077_semlegenda1.png,Chapter 1. Introduction to Control Systems,77,,531,681,,ambiguo
_ambiguos/pagina-0077_semlegenda2.png,Chapter 1. Introduction to Control Systems,77,,846,1003,,ambiguo
_ambiguos/pagina-0077_semlegenda3.png,Chapter 1. Introduction to Control Systems,77,,751,542,,ambiguo
_ambiguos/pagina-0078_semlegenda1.png,Chapter 1. Introduction to Control Systems,78,,924,631,,ambiguo
_ambiguos/pagina-0078_semlegenda2.png,Chapter 1. Introduction to Control Systems,78,,696,532,,ambiguo
_ambiguos/pagina-0078_semlegenda3.png,Chapter 1. Introduction to Control Systems,78,,367,691,,ambiguo
_ambiguos/pagina-0080_semlegenda1.png,Chapter 2. Mathematical Models of Systems,80,,351,365,,ambiguo
cap02-mathematical-models-of-systems/pagina-0082_fig2-1.png,Chapter 2. Mathematical Models of Systems,82,2.1,712,689,FIGURE 2.1 (a) Torsional spring–mass system. (b) Spring element.,ok
_ambiguos/pagina-0083_semlegenda1.png,Chapter 2. Mathematical Models of Systems,83,,311,308,,ambiguo
_ambiguos/pagina-0083_semlegenda2.png,Chapter 2. Mathematical Models of Systems,83,,312,488,,ambiguo
_ambiguos/pagina-0083_semlegenda3.png,Chapter 2. Mathematical Models of Systems,83,,126,606,,ambiguo
_ambiguos/pagina-0083_semlegenda4.png,Chapter 2. Mathematical Models of Systems,83,,126,598,,ambiguo
cap02-mathematical-models-of-systems/pagina-0084_fig2-2.png,Chapter 2. Mathematical Models of Systems,84,2.2,1016,642,FIGURE 2.2 (a) Spring-mass- damper system. (b) Free-body diagram.,ok
cap02-mathematical-models-of-systems/pagina-0085_fig2-3.png,Chapter 2. Mathematical Models of Systems,85,2.3,673,268,FIGURE 2.3 RLC circuit.,ok
cap02-mathematical-models-of-systems/pagina-0085_fig2-4.png,Chapter 2. Mathematical Models of Systems,85,2.4,1187,773,FIGURE 2.4 Typical voltage response for an RLC circuit.,ok
cap02-mathematical-models-of-systems/pagina-0088_fig2-5.png,Chapter 2. Mathematical Models of Systems,88,2.5,1313,677,FIGURE 2.5 (a) A mass sitting on a nonlinear spring. (b) The spring force versus y (t).,ok
cap02-mathematical-models-of-systems/pagina-0089_fig2-6.png,Chapter 2. Mathematical Models of Systems,89,2.6,1022,560,FIGURE 2.6 Pendulum oscillator.,ok
_ambiguos/pagina-0089_semlegenda1.png,Chapter 2. Mathematical Models of Systems,89,,574,161,,ambiguo
cap02-mathematical-models-of-systems/pagina-0092_fig2-7.png,Chapter 2. Mathematical Models of Systems,92,2.7,816,475,FIGURE 2.7 An s-plane pole and zero plot.,ok
cap02-mathematical-models-of-systems/pagina-0092_fig2-8.png,Chapter 2. Mathematical Models of Systems,92,2.8,816,431,FIGURE 2.8 Graphical ­evaluation of the residues.,ok
cap02-mathematical-models-of-systems/pagina-0093_fig2-9.png,Chapter 2. Mathematical Models of Systems,93,2.9,1003,1116,FIGURE 2.9 An s-plane plot of the poles and zeros of,ok
cap02-mathematical-models-of-systems/pagina-0094_fig2-10.png,Chapter 2. Mathematical Models of Systems,94,2.10,662,582,FIGURE 2.10 The locus of roots as ζ varies with constant.,ok
cap02-mathematical-models-of-systems/pagina-0094_fig2-11.png,Chapter 2. Mathematical Models of Systems,94,2.11,540,608,FIGURE 2.11 Evaluation of the residue k .,ok
cap02-mathematical-models-of-systems/pagina-0095_fig2-12.png,Chapter 2. Mathematical Models of Systems,95,2.12,1117,778,FIGURE 2.12 Response of the spring-mass- damper system.,ok
cap02-mathematical-models-of-systems/pagina-0096_fig2-13.png,Chapter 2. Mathematical Models of Systems,96,2.13,753,296,FIGURE 2.13 An RC network.,ok
cap02-mathematical-models-of-systems/pagina-0099_fig2-14.png,Chapter 2. Mathematical Models of Systems,99,2.14,1083,368,FIGURE 2.14 The ideal op-amp.,ok
cap02-mathematical-models-of-systems/pagina-0099_fig2-15.png,Chapter 2. Mathematical Models of Systems,99,2.15,774,443,FIGURE 2.15 An Inverting ­amplifier ­operating with ideal conditions.,ok
cap02-mathematical-models-of-systems/pagina-0100_fig2-16.png,Chapter 2. Mathematical Models of Systems,100,2.16,810,596,FIGURE 2.16 Two-mass ­mechanical system.,ok
cap02-mathematical-models-of-systems/pagina-0100_fig2-17.png,Chapter 2. Mathematical Models of Systems,100,2.17,724,330,FIGURE 2.17 Two-node elec- tric circuit analog,ok
cap02-mathematical-models-of-systems/pagina-0102_fig2-18.png,Chapter 2. Mathematical Models of Systems,102,2.18,1573,848,FIGURE 2.18 A DC motor (a) electrical ­diagram and (b) sketch.,ok
cap02-mathematical-models-of-systems/pagina-0103_fig2-19.png,Chapter 2. Mathematical Models of Systems,103,2.19,1561,318,FIGURE 2.19 Block diagram model of field-­ controlled DC motor.,ok
cap02-mathematical-models-of-systems/pagina-0104_fig2-20.png,Chapter 2. Mathematical Models of Systems,104,2.20,1421,481,FIGURE 2.20 Armature-controlled DC motor.,ok
_ambiguos/pagina-0105_semlegenda1.png,Chapter 2. Mathematical Models of Systems,105,,605,393,,ambiguo
